教室可容纳学生,教室编号,资源,教室ID
120,10507,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,1-507
200,10508,多媒体；黑板；黑板刷；粉笔,1-508
80,10509,多媒体；黑板；黑板刷；粉笔,1-509
80,10510,多媒体；黑板；黑板刷；粉笔,1-510
80,10511,多媒体；黑板；黑板刷；粉笔,1-511
80,10512,多媒体；黑板；黑板刷；粉笔,1-512
300,10601,多媒体；黑板；黑板刷；粉笔,1-601
80,10602,多媒体；黑板；黑板刷；粉笔,1-602
80,10603,多媒体；黑板；黑板刷；粉笔,1-603
80,10604,多媒体；黑板；黑板刷；粉笔,1-604
200,10605,多媒体；黑板；黑板刷；粉笔,1-605
300,10606,多媒体；黑板；黑板刷；粉笔,1-606
120,10607,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,1-607
200,10608,多媒体；黑板；黑板刷；粉笔,1-608
80,10609,多媒体；黑板；黑板刷；粉笔,1-609
80,10610,多媒体；黑板；黑板刷；粉笔,1-610
80,10611,多媒体；黑板；黑板刷；粉笔,1-611
80,10612,多媒体；黑板；黑板刷；粉笔,1-612
300,20101,多媒体；黑板；黑板刷；粉笔,2-101
80,20102,多媒体；黑板；黑板刷；粉笔,2-102
80,20103,多媒体；黑板；黑板刷；粉笔,2-103
80,20104,多媒体；黑板；黑板刷；粉笔,2-104
300,20105,多媒体；黑板；黑板刷；粉笔,2-105
200,20106,多媒体；黑板；黑板刷；粉笔,2-106
120,20107,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,2-107
300,20108,多媒体；黑板；黑板刷；粉笔,2-108
80,20109,多媒体；黑板；黑板刷；粉笔,2-109
80,20110,多媒体；黑板；黑板刷；粉笔,2-110
80,20111,多媒体；黑板；黑板刷；粉笔,2-111
80,20112,多媒体；黑板；黑板刷；粉笔,2-112
300,20201,多媒体；黑板；黑板刷；粉笔,2-201
80,20202,多媒体；黑板；黑板刷；粉笔,2-202
80,20203,多媒体；黑板；黑板刷；粉笔,2-203
80,20204,多媒体；黑板；黑板刷；粉笔,2-204
200,20205,多媒体；黑板；黑板刷；粉笔,2-205
200,20206,多媒体；黑板；黑板刷；粉笔,2-206
120,20207,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,2-207
200,20208,多媒体；黑板；黑板刷；粉笔,2-208
80,20209,多媒体；黑板；黑板刷；粉笔,2-209
80,20210,多媒体；黑板；黑板刷；粉笔,2-210
80,20211,多媒体；黑板；黑板刷；粉笔,2-211
80,20212,多媒体；黑板；黑板刷；粉笔,2-212
200,20301,多媒体；黑板；黑板刷；粉笔,2-301
80,20302,多媒体；黑板；黑板刷；粉笔,2-302
80,20303,多媒体；黑板；黑板刷；粉笔,2-303
80,20304,多媒体；黑板；黑板刷；粉笔,2-304
200,20305,多媒体；黑板；黑板刷；粉笔,2-305
300,20306,多媒体；黑板；黑板刷；粉笔,2-306
120,20307,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,2-307
300,20308,多媒体；黑板；黑板刷；粉笔,2-308
80,20309,多媒体；黑板；黑板刷；粉笔,2-309
80,20310,多媒体；黑板；黑板刷；粉笔,2-310
80,20311,多媒体；黑板；黑板刷；粉笔,2-311
80,20312,多媒体；黑板；黑板刷；粉笔,2-312
300,20401,多媒体；黑板；黑板刷；粉笔,2-401
80,20402,多媒体；黑板；黑板刷；粉笔,2-402
80,20403,多媒体；黑板；黑板刷；粉笔,2-403
80,20404,多媒体；黑板；黑板刷；粉笔,2-404
200,20405,多媒体；黑板；黑板刷；粉笔,2-405
300,20406,多媒体；黑板；黑板刷；粉笔,2-406
120,20407,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,2-407
300,20408,多媒体；黑板；黑板刷；粉笔,2-408
80,20409,多媒体；黑板；黑板刷；粉笔,2-409
80,20410,多媒体；黑板；黑板刷；粉笔,2-410
80,20411,多媒体；黑板；黑板刷；粉笔,2-411
80,20412,多媒体；黑板；黑板刷；粉笔,2-412
200,20501,多媒体；黑板；黑板刷；粉笔,2-501
80,20502,多媒体；黑板；黑板刷；粉笔,2-502
80,20503,多媒体；黑板；黑板刷；粉笔,2-503
80,20504,多媒体；黑板；黑板刷；粉笔,2-504
200,20505,多媒体；黑板；黑板刷；粉笔,2-505
300,20506,多媒体；黑板；黑板刷；粉笔,2-506
120,20507,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,2-507
200,20508,多媒体；黑板；黑板刷；粉笔,2-508
80,20509,多媒体；黑板；黑板刷；粉笔,2-509
80,20510,多媒体；黑板；黑板刷；粉笔,2-510
80,20511,多媒体；黑板；黑板刷；粉笔,2-511
80,20512,多媒体；黑板；黑板刷；粉笔,2-512
300,20601,多媒体；黑板；黑板刷；粉笔,2-601
80,20602,多媒体；黑板；黑板刷；粉笔,2-602
80,20603,多媒体；黑板；黑板刷；粉笔,2-603
80,20604,多媒体；黑板；黑板刷；粉笔,2-604
300,20605,多媒体；黑板；黑板刷；粉笔,2-605
300,20606,多媒体；黑板；黑板刷；粉笔,2-606
120,20607,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,2-607
200,20608,多媒体；黑板；黑板刷；粉笔,2-608
80,20609,多媒体；黑板；黑板刷；粉笔,2-609
80,20610,多媒体；黑板；黑板刷；粉笔,2-610
80,20611,多媒体；黑板；黑板刷；粉笔,2-611
80,20612,多媒体；黑板；黑板刷；粉笔,2-612
200,30101,多媒体；黑板；黑板刷；粉笔,3-101
80,30102,多媒体；黑板；黑板刷；粉笔,3-102
80,30103,多媒体；黑板；黑板刷；粉笔,3-103
80,30104,多媒体；黑板；黑板刷；粉笔,3-104
300,30105,多媒体；黑板；黑板刷；粉笔,3-105
200,30106,多媒体；黑板；黑板刷；粉笔,3-106
120,30107,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,3-107
300,30108,多媒体；黑板；黑板刷；粉笔,3-108
80,30109,多媒体；黑板；黑板刷；粉笔,3-109
80,30110,多媒体；黑板；黑板刷；粉笔,3-110
80,30111,多媒体；黑板；黑板刷；粉笔,3-111
80,30112,多媒体；黑板；黑板刷；粉笔,3-112
300,30201,多媒体；黑板；黑板刷；粉笔,3-201
80,30202,多媒体；黑板；黑板刷；粉笔,3-202
80,30203,多媒体；黑板；黑板刷；粉笔,3-203
80,30204,多媒体；黑板；黑板刷；粉笔,3-204
300,30205,多媒体；黑板；黑板刷；粉笔,3-205
200,30206,多媒体；黑板；黑板刷；粉笔,3-206
120,30207,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,3-207
300,30208,多媒体；黑板；黑板刷；粉笔,3-208
80,30209,多媒体；黑板；黑板刷；粉笔,3-209
80,30210,多媒体；黑板；黑板刷；粉笔,3-210
80,30211,多媒体；黑板；黑板刷；粉笔,3-211
80,30212,多媒体；黑板；黑板刷；粉笔,3-212
300,30301,多媒体；黑板；黑板刷；粉笔,3-301
80,30302,多媒体；黑板；黑板刷；粉笔,3-302
80,30303,多媒体；黑板；黑板刷；粉笔,3-303
80,30304,多媒体；黑板；黑板刷；粉笔,3-304
300,30305,多媒体；黑板；黑板刷；粉笔,3-305
200,30306,多媒体；黑板；黑板刷；粉笔,3-306
120,30307,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,3-307
200,30308,多媒体；黑板；黑板刷；粉笔,3-308
80,30309,多媒体；黑板；黑板刷；粉笔,3-309
80,30310,多媒体；黑板；黑板刷；粉笔,3-310
80,30311,多媒体；黑板；黑板刷；粉笔,3-311
80,30312,多媒体；黑板；黑板刷；粉笔,3-312
200,30401,多媒体；黑板；黑板刷；粉笔,3-401
80,30402,多媒体；黑板；黑板刷；粉笔,3-402
80,30403,多媒体；黑板；黑板刷；粉笔,3-403
80,30404,多媒体；黑板；黑板刷；粉笔,3-404
200,30405,多媒体；黑板；黑板刷；粉笔,3-405
200,30406,多媒体；黑板；黑板刷；粉笔,3-406
120,30407,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,3-407
200,30408,多媒体；黑板；黑板刷；粉笔,3-408
80,30409,多媒体；黑板；黑板刷；粉笔,3-409
80,30410,多媒体；黑板；黑板刷；粉笔,3-410
80,30411,多媒体；黑板；黑板刷；粉笔,3-411
80,30412,多媒体；黑板；黑板刷；粉笔,3-412
200,30501,多媒体；黑板；黑板刷；粉笔,3-501
80,30502,多媒体；黑板；黑板刷；粉笔,3-502
80,30503,多媒体；黑板；黑板刷；粉笔,3-503
80,30504,多媒体；黑板；黑板刷；粉笔,3-504
300,30505,多媒体；黑板；黑板刷；粉笔,3-505
300,30506,多媒体；黑板；黑板刷；粉笔,3-506
120,30507,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,3-507
300,30508,多媒体；黑板；黑板刷；粉笔,3-508
80,30509,多媒体；黑板；黑板刷；粉笔,3-509
80,30510,多媒体；黑板；黑板刷；粉笔,3-510
80,30511,多媒体；黑板；黑板刷；粉笔,3-511
80,30512,多媒体；黑板；黑板刷；粉笔,3-512
300,30601,多媒体；黑板；黑板刷；粉笔,3-601
80,30602,多媒体；黑板；黑板刷；粉笔,3-602
80,30603,多媒体；黑板；黑板刷；粉笔,3-603
80,30604,多媒体；黑板；黑板刷；粉笔,3-604
200,30605,多媒体；黑板；黑板刷；粉笔,3-605
300,30606,多媒体；黑板；黑板刷；粉笔,3-606
120,30607,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,3-607
300,30608,多媒体；黑板；黑板刷；粉笔,3-608
80,30609,多媒体；黑板；黑板刷；粉笔,3-609
80,30610,多媒体；黑板；黑板刷；粉笔,3-610
80,30611,多媒体；黑板；黑板刷；粉笔,3-611
80,30612,多媒体；黑板；黑板刷；粉笔,3-612
300,40101,多媒体；黑板；黑板刷；粉笔,4-101
80,40102,多媒体；黑板；黑板刷；粉笔,4-102
80,40103,多媒体；黑板；黑板刷；粉笔,4-103
80,40104,多媒体；黑板；黑板刷；粉笔,4-104
300,40105,多媒体；黑板；黑板刷；粉笔,4-105
200,40106,多媒体；黑板；黑板刷；粉笔,4-106
120,40107,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,4-107
300,40108,多媒体；黑板；黑板刷；粉笔,4-108
80,40109,多媒体；黑板；黑板刷；粉笔,4-109
80,40110,多媒体；黑板；黑板刷；粉笔,4-110
80,40111,多媒体；黑板；黑板刷；粉笔,4-111
80,40112,多媒体；黑板；黑板刷；粉笔,4-112
300,40201,多媒体；黑板；黑板刷；粉笔,4-201
80,40202,多媒体；黑板；黑板刷；粉笔,4-202
80,40203,多媒体；黑板；黑板刷；粉笔,4-203
80,40204,多媒体；黑板；黑板刷；粉笔,4-204
300,40205,多媒体；黑板；黑板刷；粉笔,4-205
300,40206,多媒体；黑板；黑板刷；粉笔,4-206
120,40207,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,4-207
300,40208,多媒体；黑板；黑板刷；粉笔,4-208
80,40209,多媒体；黑板；黑板刷；粉笔,4-209
80,40210,多媒体；黑板；黑板刷；粉笔,4-210
80,40211,多媒体；黑板；黑板刷；粉笔,4-211
80,40212,多媒体；黑板；黑板刷；粉笔,4-212
300,40301,多媒体；黑板；黑板刷；粉笔,4-301
80,40302,多媒体；黑板；黑板刷；粉笔,4-302
80,40303,多媒体；黑板；黑板刷；粉笔,4-303
80,40304,多媒体；黑板；黑板刷；粉笔,4-304
300,40305,多媒体；黑板；黑板刷；粉笔,4-305
200,40306,多媒体；黑板；黑板刷；粉笔,4-306
120,40307,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,4-307
200,40308,多媒体；黑板；黑板刷；粉笔,4-308
80,40309,多媒体；黑板；黑板刷；粉笔,4-309
80,40310,多媒体；黑板；黑板刷；粉笔,4-310
80,40311,多媒体；黑板；黑板刷；粉笔,4-311
80,40312,多媒体；黑板；黑板刷；粉笔,4-312
300,40401,多媒体；黑板；黑板刷；粉笔,4-401
80,40402,多媒体；黑板；黑板刷；粉笔,4-402
80,40403,多媒体；黑板；黑板刷；粉笔,4-403
80,40404,多媒体；黑板；黑板刷；粉笔,4-404
300,40405,多媒体；黑板；黑板刷；粉笔,4-405
300,40406,多媒体；黑板；黑板刷；粉笔,4-406
120,40407,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,4-407
200,40408,多媒体；黑板；黑板刷；粉笔,4-408
80,40409,多媒体；黑板；黑板刷；粉笔,4-409
80,40410,多媒体；黑板；黑板刷；粉笔,4-410
80,40411,多媒体；黑板；黑板刷；粉笔,4-411
80,40412,多媒体；黑板；黑板刷；粉笔,4-412
200,40501,多媒体；黑板；黑板刷；粉笔,4-501
80,40502,多媒体；黑板；黑板刷；粉笔,4-502
80,40503,多媒体；黑板；黑板刷；粉笔,4-503
80,40504,多媒体；黑板；黑板刷；粉笔,4-504
200,40505,多媒体；黑板；黑板刷；粉笔,4-505
200,40506,多媒体；黑板；黑板刷；粉笔,4-506
120,40507,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,4-507
300,40508,多媒体；黑板；黑板刷；粉笔,4-508
80,40509,多媒体；黑板；黑板刷；粉笔,4-509
80,40510,多媒体；黑板；黑板刷；粉笔,4-510
80,40511,多媒体；黑板；黑板刷；粉笔,4-511
80,40512,多媒体；黑板；黑板刷；粉笔,4-512
300,40601,多媒体；黑板；黑板刷；粉笔,4-601
80,40602,多媒体；黑板；黑板刷；粉笔,4-602
80,40603,多媒体；黑板；黑板刷；粉笔,4-603
80,40604,多媒体；黑板；黑板刷；粉笔,4-604
300,40605,多媒体；黑板；黑板刷；粉笔,4-605
300,40606,多媒体；黑板；黑板刷；粉笔,4-606
120,40607,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,4-607
200,40608,多媒体；黑板；黑板刷；粉笔,4-608
80,40609,多媒体；黑板；黑板刷；粉笔,4-609
80,40610,多媒体；黑板；黑板刷；粉笔,4-610
80,40611,多媒体；黑板；黑板刷；粉笔,4-611
80,40612,多媒体；黑板；黑板刷；粉笔,4-612
300,40701,多媒体；黑板；黑板刷；粉笔,4-701
80,40702,多媒体；黑板；黑板刷；粉笔,4-702
80,40703,多媒体；黑板；黑板刷；粉笔,4-703
80,40704,多媒体；黑板；黑板刷；粉笔,4-704
200,40705,多媒体；黑板；黑板刷；粉笔,4-705
300,40706,多媒体；黑板；黑板刷；粉笔,4-706
120,40707,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,4-707
300,40708,多媒体；黑板；黑板刷；粉笔,4-708
80,40709,多媒体；黑板；黑板刷；粉笔,4-709
80,40710,多媒体；黑板；黑板刷；粉笔,4-710
80,40711,多媒体；黑板；黑板刷；粉笔,4-711
80,40712,多媒体；黑板；黑板刷；粉笔,4-712
300,50101,多媒体；黑板；黑板刷；粉笔,5-101
80,50102,多媒体；黑板；黑板刷；粉笔,5-102
80,50103,多媒体；黑板；黑板刷；粉笔,5-103
80,50104,多媒体；黑板；黑板刷；粉笔,5-104
200,50105,多媒体；黑板；黑板刷；粉笔,5-105
200,50106,多媒体；黑板；黑板刷；粉笔,5-106
120,50107,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,5-107
300,50108,多媒体；黑板；黑板刷；粉笔,5-108
80,50109,多媒体；黑板；黑板刷；粉笔,5-109
80,50110,多媒体；黑板；黑板刷；粉笔,5-110
80,50111,多媒体；黑板；黑板刷；粉笔,5-111
80,50112,多媒体；黑板；黑板刷；粉笔,5-112
200,50201,多媒体；黑板；黑板刷；粉笔,5-201
80,50202,多媒体；黑板；黑板刷；粉笔,5-202
80,50203,多媒体；黑板；黑板刷；粉笔,5-203
80,50204,多媒体；黑板；黑板刷；粉笔,5-204
300,50205,多媒体；黑板；黑板刷；粉笔,5-205
200,50206,多媒体；黑板；黑板刷；粉笔,5-206
120,50207,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,5-207
300,50208,多媒体；黑板；黑板刷；粉笔,5-208
80,50209,多媒体；黑板；黑板刷；粉笔,5-209
80,50210,多媒体；黑板；黑板刷；粉笔,5-210
80,50211,多媒体；黑板；黑板刷；粉笔,5-211
80,50212,多媒体；黑板；黑板刷；粉笔,5-212
300,50301,多媒体；黑板；黑板刷；粉笔,5-301
80,50302,多媒体；黑板；黑板刷；粉笔,5-302
80,50303,多媒体；黑板；黑板刷；粉笔,5-303
80,50304,多媒体；黑板；黑板刷；粉笔,5-304
300,50305,多媒体；黑板；黑板刷；粉笔,5-305
200,50306,多媒体；黑板；黑板刷；粉笔,5-306
120,50307,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,5-307
300,50308,多媒体；黑板；黑板刷；粉笔,5-308
80,50309,多媒体；黑板；黑板刷；粉笔,5-309
80,50310,多媒体；黑板；黑板刷；粉笔,5-310
80,50311,多媒体；黑板；黑板刷；粉笔,5-311
80,50312,多媒体；黑板；黑板刷；粉笔,5-312
300,50401,多媒体；黑板；黑板刷；粉笔,5-401
80,50402,多媒体；黑板；黑板刷；粉笔,5-402
80,50403,多媒体；黑板；黑板刷；粉笔,5-403
80,50404,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-404
300,50405,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-405
200,50406,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-406
120,50407,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,5-407
200,50408,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-408
80,50409,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-409
80,50410,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-410
80,50411,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-411
80,50412,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-412
200,50501,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-501
80,50502,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-502
80,50503,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-503
80,50504,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-504
200,50505,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-505
300,50506,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-506
120,50507,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,5-507
200,50508,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-508
80,50509,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-509
80,50510,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-510
80,50511,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-511
80,50512,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,5-512
200,60101,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-101
80,60102,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-102
80,60103,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-103
80,60104,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-104
200,60105,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-105
200,60106,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-106
120,60107,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,6-107
200,60108,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-108
80,60109,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-109
80,60110,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-110
80,60111,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-111
80,60112,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-112
300,60201,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-201
80,60202,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-202
80,60203,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-203
80,60204,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-204
200,60205,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-205
200,60206,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-206
120,60207,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,6-207
300,60208,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-208
80,60209,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-209
80,60210,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-210
80,60211,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-211
80,60212,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-212
300,60301,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-301
80,60302,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-302
80,60303,多媒体；黑板；黑板刷；粉笔；汽车实训；多媒体,6-303
80,60304,多媒体；黑板；黑板刷；粉笔,6-304
200,60305,多媒体；黑板；黑板刷；粉笔,6-305
200,60306,多媒体；黑板；黑板刷；粉笔,6-306
120,60307,多媒体；黑板；黑板刷；粉笔；物理实验室（物理实验工具）,6-307
200,60308,多媒体；黑板；黑板刷；粉笔,6-308
80,60309,多媒体；黑板；黑板刷；粉笔,6-309
80,60310,多媒体；黑板；黑板刷；粉笔,6-310
80,60311,多媒体；黑板；黑板刷；粉笔,6-311
80,60312,多媒体；黑板；黑板刷；粉笔,6-312
300,60401,多媒体；黑板；黑板刷；粉笔,6-401
80,60402,多媒体；黑板；黑板刷；粉笔,6-402
80,60403,多媒体；黑板；黑板刷；粉笔,6-403
80,60404,多媒体；黑板；黑板刷；粉笔,6-404
300,60405,多媒体；黑板；黑板刷；粉笔,6-405
300,60406,多媒体；黑板；黑板刷；粉笔,6-406
120,60407,多媒体；黑板；黑板刷；粉笔；音乐室,6-407
300,60408,多媒体；黑板；黑板刷；粉笔,6-408
80,60409,多媒体；黑板；黑板刷；粉笔,6-409
80,60410,多媒体；黑板；黑板刷；粉笔,6-410
80,60411,多媒体；黑板；黑板刷；粉笔,6-411
80,60412,多媒体；黑板；黑板刷；粉笔,6-412
200,60501,多媒体；黑板；黑板刷；粉笔,6-501
80,60502,多媒体；黑板；黑板刷；粉笔,6-502
80,60503,多媒体；黑板；黑板刷；粉笔,6-503
80,60504,多媒体；黑板；黑板刷；粉笔,6-504
200,60505,多媒体；黑板；黑板刷；粉笔,6-505
200,60506,多媒体；黑板；黑板刷；粉笔,6-506
120,60507,多媒体；黑板；黑板刷；粉笔；音乐室,6-507
300,60508,多媒体；黑板；黑板刷；粉笔,6-508
80,60509,多媒体；黑板；黑板刷；粉笔,6-509
80,60510,多媒体；黑板；黑板刷；粉笔,6-510
80,60511,多媒体；黑板；黑板刷；粉笔,6-511
80,60512,多媒体；黑板；黑板刷；粉笔,6-512
300,60601,多媒体；黑板；黑板刷；粉笔,6-601
80,60602,多媒体；黑板；黑板刷；粉笔,6-602
80,60603,多媒体；黑板；黑板刷；粉笔,6-603
80,60604,多媒体；黑板；黑板刷；粉笔,6-604
200,60605,多媒体；黑板；黑板刷；粉笔,6-605
200,60606,多媒体；黑板；黑板刷；粉笔,6-606
120,60607,多媒体；黑板；黑板刷；粉笔；音乐室,6-607
300,60608,多媒体；黑板；黑板刷；粉笔,6-608
80,60609,多媒体；黑板；黑板刷；粉笔,6-609
80,60610,多媒体；黑板；黑板刷；粉笔,6-610
80,60611,多媒体；黑板；黑板刷；粉笔,6-611
80,60612,多媒体；黑板；黑板刷；粉笔,6-612
300,60701,多媒体；黑板；黑板刷；粉笔,6-701
80,60702,多媒体；黑板；黑板刷；粉笔,6-702
80,60703,多媒体；黑板；黑板刷；粉笔,6-703
80,60704,多媒体；黑板；黑板刷；粉笔,6-704
300,60705,多媒体；黑板；黑板刷；粉笔,6-705
200,60706,多媒体；黑板；黑板刷；粉笔,6-706
120,60707,多媒体；黑板；黑板刷；粉笔；音乐室,6-707
300,60708,多媒体；黑板；黑板刷；粉笔,6-708
80,60709,多媒体；黑板；黑板刷；粉笔,6-709
80,60710,多媒体；黑板；黑板刷；粉笔,6-710
80,60711,多媒体；黑板；黑板刷；粉笔,6-711
80,60712,多媒体；黑板；黑板刷；粉笔,6-712
300,70101,多媒体；黑板；黑板刷；粉笔,7-101
80,70102,多媒体；黑板；黑板刷；粉笔,7-102
80,70103,多媒体；黑板；黑板刷；粉笔,7-103
